,x,y,labels,ACE2,TMPRSS2,EPCAM,a_labels,t_labels,e_labels
90,8.298447609,-7.904204845,0,0.0,0.0,0.0,0,0,0
91,8.938798904,-8.096133232,0,0.0,0.0,0.0,0,0,0
92,9.377055168,-8.140960693,0,0.0,0.0,0.0,0,0,0
93,9.079927444,-8.523281097,0,0.0,0.0,0.0,0,0,0
94,9.219092369,-8.230208397,0,0.0,0.0,0.0,0,0,0
95,9.451441765,-8.451079369,0,0.0,0.0,0.0,0,0,0
96,8.286928177,-8.40417099,0,0.0,0.0,0.0,0,0,0
97,8.138394356,-8.450918198,0,0.0,0.0,0.0,0,0,0
98,9.678291321,-8.424916267,0,0.0,0.0,0.0,0,0,0
99,9.576785088,-8.246052742,0,0.0,0.0,0.0,0,0,0
100,8.873841286,-8.407568932,0,0.0,0.0,0.0,0,0,0
101,9.597782135,-7.74014616,0,0.0,0.0,0.0,0,0,0
102,8.838150024,-8.857635498,0,0.0,0.0,0.0,0,0,0
103,8.747859955,-7.85340786,0,0.0,0.0,0.0,0,0,0
104,8.42328167,-8.243999481,0,0.0,0.0,0.0,0,0,0
105,9.605248451,-8.463747025,0,0.0,0.0,0.0,0,0,0
106,9.717272758,-7.903774261,0,0.0,0.0,0.0,0,0,0
107,9.612236977,-8.08928299,0,0.0,0.0,0.0,0,0,0
108,8.710059166,-7.229668617,0,0.0,0.0,0.0,0,0,0
109,9.108038902,-8.487093925,0,0.0,0.0,0.0,0,0,0
110,9.24913311,-7.970461369,0,0.0,0.0,0.0,0,0,0
111,8.985923767,-8.287637711,0,0.0,0.0,0.0,0,0,0
112,8.735712051,-8.13995266,0,0.0,0.0,0.0,0,0,0
113,8.292844772,-8.524670601,0,0.0,0.0,0.0,0,0,0
114,8.900610924,-9.024958611,0,0.0,0.0,0.0,0,0,0
115,9.106051445,-7.922417641,0,0.0,0.0,0.0,0,0,0
116,8.668781281,-8.693759918,0,0.0,0.0,0.0,0,0,0
117,8.666632652,-8.143966675,0,0.0,0.0,0.0,0,0,0
118,8.59095192,-8.401135445,0,0.0,0.0,0.0,0,0,0
119,8.368541718,-7.957993984,0,0.0,0.0,0.0,0,0,0
120,9.180024147,-7.551294327,0,0.0,0.0,0.0,0,0,0
121,8.066452026,-8.508841515,0,0.0,0.0,0.0,0,0,0
122,9.45203495,-8.588055611,0,0.0,0.0,0.0,0,0,0
123,8.897663116,-8.889717102,0,0.0,0.0,0.0,0,0,0
124,9.559913635,-8.238977432,0,0.0,0.0,0.0,0,0,0
125,9.296994209,-8.383564949,0,0.0,0.0,0.0,0,0,0
126,8.687856674,-7.599047661,0,0.0,0.0,0.0,0,0,0
127,9.865810394,-8.193820953,0,0.0,0.0,0.0,0,0,0
128,9.0759058,-7.780035973,0,0.0,0.0,0.0,0,0,0
129,9.057188988,-7.930598736,0,0.0,0.0,0.0,0,0,0
130,9.305312157,-9.032113075,0,0.0,0.0,0.0,0,0,0
131,9.339883804,-8.709119797,0,0.0,0.0,0.0,0,0,0
132,9.337601662,-7.734583855,0,0.0,0.0,0.0,0,0,0
133,9.300068855,-7.785708427,0,0.0,0.0,0.0,0,0,0
134,8.938418388,-7.956374168,0,0.0,0.0,0.0,0,0,0
135,8.552441597,-7.870547295,0,0.0,0.0,0.0,0,0,0
136,8.766700745,-7.980194092,0,0.0,0.0,0.0,0,0,0
137,8.423727036,-8.103242874,0,0.0,0.0,0.0,0,0,0
138,8.092259407,-8.257381439,0,0.0,0.0,0.0,0,0,0
139,9.331990242,-8.629797935,0,0.0,0.0,0.0,0,0,0
140,9.291636467,-8.648557663,0,0.0,0.0,0.0,0,0,0
141,9.503284454,-8.052137375,0,0.0,0.0,0.0,0,0,0
142,9.164556503,-7.812178135,0,0.0,0.0,0.0,0,0,0
143,8.446736336,-7.934230804,0,0.0,0.0,0.0,0,0,0
144,8.758682251,-8.038614273,0,0.0,0.0,0.0,0,0,0
145,9.238030434,-8.294620514,0,0.0,0.0,0.0,0,0,0
146,8.773753166,-8.412708282,0,0.0,0.0,0.0,0,0,0
147,9.865414619,-8.382703781,0,0.0,0.0,0.0,0,0,0
148,9.242463112,-7.891802788,0,0.0,0.0,0.0,0,0,0
149,8.960059166,-8.223291397,0,0.0,0.0,0.0,0,0,0
150,7.714105606,-9.380514145,0,0.0,0.0,0.0,0,0,0
